introgression_tract,Sdro,Sfra,Spal,Hpul,Overlapping Gene,Gene Name,Gene Length,Overlapping Bases,Percent Introgressed,Gene Coordinates,ECB Gene ID,Gene Synonyms,Curation Status,Gene Info,Echinobase GO,Echinobase KO,Tu GO
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC105438240,caldesmon-like,3329,3329,100.0,NW_022145610.1:29598458-29601787,ECB-GENEPAGE-23144379,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC115929107,leucine-rich repeat extensin-like protein 5,780,780,100.0,NW_022145610.1:29612750-29613530,ECB-GENEPAGE-23144383,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC105445881,myosin-11-like,3576,3576,100.0,NW_022145610.1:29628831-29632407,ECB-GENEPAGE-23144387,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC105445880,myosin-2-like,6424,6424,100.0,NW_022145610.1:29688811-29695235,ECB-GENEPAGE-23144395,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC115929109,uncharacterized LOC115929109,1518,1518,100.0,NW_022145610.1:29709203-29710721,ECB-GENEPAGE-23144399,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC115929134,ATP-dependent DNA helicase pfh1-like,4061,4061,100.0,NW_022145610.1:29842724-29846785,ECB-GENEPAGE-23144406,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC115929135,uncharacterized LOC115929135,3790,3790,100.0,NW_022145610.1:29856323-29860113,ECB-GENEPAGE-23144413,Sp-Hypp_355|SPU_002397|hypothetical protein-355|endonuclease-reverse transcriptase-like,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC115929258,uncharacterized LOC115929258,1321,242,18.319454958364876,NW_022145610.1:29934189-29935510,ECB-GENEPAGE-23144428,"Sp-Unc44_296| ankyrin2,3/unc44-296|SPU_011330",partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC105440054,uncharacterized LOC105440054,13956,13956,100.0,NW_022145610.1:29562097-29576053,ECB-GENEPAGE-23144375,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC115929108,probable DNA double-strand break repair Rad50 ATPase,3394,3394,100.0,NW_022145610.1:29669254-29672648,ECB-GENEPAGE-23144391,Sp-Hypp_2014|SPU_012038|hypothetical protein-2014,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542570-29934431,17.62,32.13,11.13,14.08,LOC115929110,vicilin-like seed storage protein At2g18540,11791,11791,100.0,NW_022145610.1:29880402-29892193,ECB-GENEPAGE-23144424,SPU_010376,partially curated,n/a,n/a,n/a,n/a
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC105442169,low-density lipoprotein receptor-related protein 1-like,10895,10442,95.84212941716383,NW_022145599.1:11062450-11073345,ECB-GENEPAGE-23066231,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC115923723,somatostatin receptor type 2-like,2489,2489,100.0,NW_022145599.1:11099427-11101916,ECB-GENEPAGE-23066238,Sp-Gpr1L_8|SPU_018541|G protein-coupled receptor 1-like-8|Sp-Gpr1L|SPU_006904|G protein-coupled receptor 1-like,partially curated,n/a,n/a,n/a,"Nervous,Nervous_Chemosensory,Nervous_Chemosensory|Nervous,Nervous_Chemosensory,Nervous_Chemosensory"
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC115923724,histidine-rich glycoprotein-like,6069,6069,100.0,NW_022145599.1:11110603-11116672,ECB-GENEPAGE-23066242,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC115923475,uncharacterized LOC115923475,5457,5457,100.0,NW_022145599.1:11176358-11181815,ECB-GENEPAGE-23066255,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC115923727,somatostatin receptor type 2-like,2489,2489,100.0,NW_022145599.1:11233256-11235745,ECB-GENEPAGE-23066259,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC115923728,histidine-rich glycoprotein-like,4616,4616,100.0,NW_022145599.1:11244457-11249073,ECB-GENEPAGE-23066263,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC100893171,somatostatin receptor type 2-like,2516,2516,100.0,NW_022145599.1:11329991-11332507,ECB-GENEPAGE-23066275,SPU_027201|Sp-Sst5L|SPU_000140|somatostatin receptor type 5 like,partially curated,n/a,n/a,n/a,n/a
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC115923726,uncharacterized LOC115923726,7571,7571,100.0,NW_022145599.1:11149964-11157535,ECB-GENEPAGE-23066246,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC105443557,hyphal wall protein 1-like,27731,27731,100.0,NW_022145599.1:11170648-11198379,ECB-GENEPAGE-23066250,hypothetical protein-1302; low density lipoprotein-related protein 1B (deleted in tumors)-like|deleted in tumors|hypothetical protein-1302; low density lipoprotein-related protein 1B|Sp-Hypp_1302|SPU_001082|hypothetical protein-1302|low density lipoprotein-related protein 1B (deleted in tumors)-like,partially curated,n/a,n/a,n/a,n/a
NW-022145599.1:11062903-11347001,16.12,25.31,12.94,8.04,LOC105445064,low-density lipoprotein receptor-related protein 1B-like,10544,10544,100.0,NW_022145599.1:11278379-11288923,ECB-GENEPAGE-23066267,hypothetical protein-1395; low density lipoprotein-related protein 2-like|Sp-Hypp_1395|SPU_002440|hypothetical protein-1395|low density lipoprotein-related protein 2-like,partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:430884-498887,9.1,28.18,5.13,10.34,LOC115925358,fibropellin-3-like,15752,3069,19.48324022346369,NW_022145603.1:495818-511570,ECB-GENEPAGE-23092189,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:647196-669640,30.31,55.51,28.01,8.76,LOC105442278,uncharacterized protein K02A2.6-like,519,519,100.0,NW_022145603.1:647241-647760,ECB-GENEPAGE-23092193,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:759092-971869,11.46,21.57,6.27,6.06,LOC115927352,vicilin-like seed storage protein At2g18540,3253,3253,100.0,NW_022145606.1:927867-931120,ECB-GENEPAGE-23114430,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:759092-971869,11.46,21.57,6.27,6.06,LOC574698,uncharacterized LOC574698,54430,8227,15.114826382509644,NW_022145606.1:963642-1018072,ECB-GENEPAGE-23114434,SPU_005478|Sp-PppL_117|SPU_017845|pol polyprotein like-117,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:24583831-24796564,16.93,23.41,5.66,13.13,LOC105445507,uncharacterized LOC105445507,7189,7189,100.0,NW_022145594.1:24783908-24791097,ECB-GENEPAGE-23030740,SPU_008622|Sp-Igf_2|SPU_011076|Sp-JamL1,partially curated,n/a,n/a,n/a,"Immunity,Immunity_ReceptorIg,Immunity_ReceptorIg"
NW-022145607.1:15905488-15987875,14.15,18.97,6.33,17.72,LOC591631,tubulin alpha-8 chain-like,2185,2185,100.0,NW_022145607.1:15910808-15912993,ECB-GENEPAGE-23125079,Sp-Atub12|SPU_010531,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:15905488-15987875,14.15,18.97,6.33,17.72,LOC590787,biogenesis of lysosome-related organelles complex 1 subunit 3,4181,4181,100.0,NW_022145607.1:15968928-15973109,ECB-GENEPAGE-23125094,SPU_001202,partially curated,n/a,n/a,KEGG:spu:590787,n/a
NW-022145607.1:15905488-15987875,14.15,18.97,6.33,17.72,LOC100893458,transmembrane prolyl 4-hydroxylase,21099,21099,100.0,NW_022145607.1:15917787-15938886,ECB-GENEPAGE-23125084,SPU_024247,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:15905488-15987875,14.15,18.97,6.33,17.72,LOC100888553,transmembrane prolyl 4-hydroxylase,17609,17609,100.0,NW_022145607.1:15945052-15962661,ECB-GENEPAGE-23125090,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:16109122-16114060,33.12,35.37,8.72,15.03,LOC588416,HIV Tat-specific factor 1 homolog,16472,4177,25.358183584264204,NW_022145607.1:16109883-16126355,ECB-GENEPAGE-23125098,Sp-Htatsf1L_2|SPU_015881|HIV TAT specific factor 1|Sp-Htatsf1L|SPU_010689,partially curated,n/a,"GO:0000398,GO:0003723",n/a,n/a
NW-022145601.1:27758883-27932859,14.65,13.74,6.63,12.28,LOC575362,TAR DNA-binding protein 43,10771,10771,100.0,NW_022145601.1:27811646-27822417,ECB-GENEPAGE-23085413,n/a,partially curated,n/a,n/a,n/a,n/a
