introgression_tract,Sdro,Sfra,Spal,Hpul,Overlapping Gene,Gene Name,Gene Length,Overlapping Bases,Percent Introgressed,Gene Coordinates,ECB Gene ID,Gene Synonyms,Curation Status,Gene Info,Echinobase GO,Echinobase KO,Tu GO
NW-022145603.1:3220230-3388537,21.32,32.28,11.52,17.97,LOC105444964,uncharacterized LOC105444964,4891,4891,100.0,NW_022145603.1:3298764-3303655,ECB-GENEPAGE-23092412,hypothetical protein-2521; tyrosine recombinase-like|hypothetical protein-1340; gag protein-like|Sp-Hypp_1340|SPU_001644|hypothetical protein-1340|gag protein-like|Sp-Hypp_2521|SPU_020733|hypothetical protein-2521|tyrosine recombinase-like,partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:3220230-3388537,21.32,32.28,11.52,17.97,LOC115925467,uncharacterized LOC115925467,972,972,100.0,NW_022145603.1:3334867-3335839,ECB-GENEPAGE-23092421,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC105438240,caldesmon-like,3329,3329,100.0,NW_022145610.1:29598458-29601787,ECB-GENEPAGE-23144379,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC115929107,leucine-rich repeat extensin-like protein 5,780,780,100.0,NW_022145610.1:29612750-29613530,ECB-GENEPAGE-23144383,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC105445881,myosin-11-like,3576,3576,100.0,NW_022145610.1:29628831-29632407,ECB-GENEPAGE-23144387,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC105445880,myosin-2-like,6424,6424,100.0,NW_022145610.1:29688811-29695235,ECB-GENEPAGE-23144395,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC115929109,uncharacterized LOC115929109,1518,1518,100.0,NW_022145610.1:29709203-29710721,ECB-GENEPAGE-23144399,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC115929134,ATP-dependent DNA helicase pfh1-like,4061,4061,100.0,NW_022145610.1:29842724-29846785,ECB-GENEPAGE-23144406,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC115929135,uncharacterized LOC115929135,3790,3790,100.0,NW_022145610.1:29856323-29860113,ECB-GENEPAGE-23144413,Sp-Hypp_355|SPU_002397|hypothetical protein-355|endonuclease-reverse transcriptase-like,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29934541-29934551,65.5,95.2,72.4,74.1,LOC115929258,uncharacterized LOC115929258,1321,10,0.757002271006813,NW_022145610.1:29934189-29935510,ECB-GENEPAGE-23144428,"Sp-Unc44_296| ankyrin2,3/unc44-296|SPU_011330",partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC105440054,uncharacterized LOC105440054,13956,13956,100.0,NW_022145610.1:29562097-29576053,ECB-GENEPAGE-23144375,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC115929108,probable DNA double-strand break repair Rad50 ATPase,3394,3394,100.0,NW_022145610.1:29669254-29672648,ECB-GENEPAGE-23144391,Sp-Hypp_2014|SPU_012038|hypothetical protein-2014,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:29542539-29934450,17.63,32.14,11.15,14.09,LOC115929110,vicilin-like seed storage protein At2g18540,11791,11791,100.0,NW_022145610.1:29880402-29892193,ECB-GENEPAGE-23144424,SPU_010376,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:15759657-15987875,10.63,13.35,5.3,11.81,LOC115928040,slit homolog 1 protein-like,3078,3078,100.0,NW_022145607.1:15764855-15767933,ECB-GENEPAGE-23125062,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:15759657-15987875,10.63,13.35,5.3,11.81,LOC115927878,toll-like receptor 4,2632,2632,100.0,NW_022145607.1:15788467-15791099,ECB-GENEPAGE-23125066,Sp-Tlr209|SPU_021075|Sp-Tlr196|SPU_017104,partially curated,n/a,n/a,n/a,"Immunity,Immunity_ReceptorTLR,Immunity_ReceptorTLR|Immunity,Immunity_ReceptorTLR,Immunity_ReceptorTLR"
NW-022145607.1:15759657-15987875,10.63,13.35,5.3,11.81,LOC591631,tubulin alpha-8 chain-like,2185,2185,100.0,NW_022145607.1:15910808-15912993,ECB-GENEPAGE-23125079,Sp-Atub12|SPU_010531,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:15759657-15987875,10.63,13.35,5.3,11.81,LOC590787,biogenesis of lysosome-related organelles complex 1 subunit 3,4181,4181,100.0,NW_022145607.1:15968928-15973109,ECB-GENEPAGE-23125094,SPU_001202,partially curated,n/a,n/a,KEGG:spu:590787,n/a
NW-022145607.1:15759657-15987875,10.63,13.35,5.3,11.81,LOC591647,dual specificity protein kinase TTK,17196,17196,100.0,NW_022145607.1:15882461-15899657,ECB-GENEPAGE-23125070,Sp-Ttk|SPU_010530,partially curated,n/a,n/a,n/a,"Kinase,Kinase_Other,Kinase_Other"
NW-022145607.1:15759657-15987875,10.63,13.35,5.3,11.81,LOC100893458,transmembrane prolyl 4-hydroxylase,21099,21099,100.0,NW_022145607.1:15917787-15938886,ECB-GENEPAGE-23125084,SPU_024247,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:15759657-15987875,10.63,13.35,5.3,11.81,LOC100888553,transmembrane prolyl 4-hydroxylase,17609,17609,100.0,NW_022145607.1:15945052-15962661,ECB-GENEPAGE-23125090,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:16109122-16117388,27.16,30.34,8.91,16.05,LOC588416,HIV Tat-specific factor 1 homolog,16472,7505,45.562166100048564,NW_022145607.1:16109883-16126355,ECB-GENEPAGE-23125098,Sp-Htatsf1L_2|SPU_015881|HIV TAT specific factor 1|Sp-Htatsf1L|SPU_010689,partially curated,n/a,"GO:0000398,GO:0003723",n/a,n/a
NW-022145599.1:11053506-11347207,16.08,25.88,13.06,8.29,LOC105442169,low-density lipoprotein receptor-related protein 1-like,10895,10895,100.0,NW_022145599.1:11062450-11073345,ECB-GENEPAGE-23066231,n/a,partially curated,n/a,n/a,n/a,n/a
